"""credit reporting, credit repair services, or other personal consumer reports""", 2017, 1,1,100
"""credit reporting, credit repair services, or other personal consumer reports""", 2018, 2,2,50
"""credit reporting, credit repair services, or other personal consumer reports""", 2019, 3,2,67
"""credit reporting, credit repair services, or other personal consumer reports""", 2020, 2,2,50
credit card or prepaid card, 2019, 1,1,100
debt collection, 2016, 1,1,100
debt collection, 2017, 1,1,100
debt collection, 2019, 1,1,100
debt collection, 2020, 1,1,100
mortgage, 2019, 1,1,100
vehicle loan or lease, 2018, 1,1,100
